citycode,cityname,statecode,countrycode,latitude,longitude,active,searchorigin,searchdestination,wtforigin,wtfdestination
cit,cityName,st,co,(null),(null),(null),(null),(null),(null),(null)
SBV,Sabah,,PG,-5.583333333333333,155.05,0,0,0,0,0
SBW,Sibu,,MY,2.2641666666666667,111.9825,1,364298,387558,291,272
SBX,Shelby,MT,US,48.53333333333333,-111.86666666666666,0,0,0,0,0
SBY,Salisbury/Ocean City,MD,US,38.34055555555556,-75.51027777777777,1,27809,23550,77,90
SBZ,Sibiu,,RO,45.785555555555554,24.091388888888886,1,78443,91570,58,60
SCA,Santa Catalina,,CO,8.5,-76.17500000000001,0,0,0,0,0
SCB,Scribner,NE,US,41.666666666666664,-96.65,0,0,0,0,0
SCC,Prudhoe Bay/Deadhorse,AK,US,70.19472222222223,-148.46527777777777,1,818,1164,72,38
SCD,Sulaco,,HN,14.924999999999999,-87.25833333333334,0,0,0,0,0
SCE,State College,PA,US,40.85055555555556,-77.84722222222221,1,60823,46963,251,246
SCG,Spring Creek,QL,AU,-18.633333333333333,144.55,0,0,0,0,0
SCH,Schenectady,NY,US,42.85416666666667,-73.92916666666667,0,0,0,0,0
SCI,San Cristobal,,VE,7.8,-72.20305555555557,0,0,0,0,0
SCL,Santiago,,CL,-33.393055555555556,-70.78583333333333,1,5858612,4593137,35980,35294
SCM,Scammon Bay,AK,US,61.845555555555556,-165.57861111111112,1,0,0,2,2
SCN,Saarbrucken,,DE,49.21666666666667,7.116666666666666,1,14091,11136,108,93
SCO,Aktau,,KZ,43.86,51.091944444444444,1,396136,310629,201,195
SCP,Mont-Dauphin,,FR,44.70166666666667,6.6002777777777775,0,0,0,0,0
SCQ,Santiago de Compostela,,ES,42.896388888888886,-8.415277777777778,1,949648,733389,2240,2368
SCR,Salen,,SE,61.15888888888889,12.842222222222222,1,570,1276,57,56
SCT,Socotra,,YE,12.630555555555556,53.905833333333334,1,0,0,59,59
SCU,Santiago de Cuba,,CU,19.96972222222222,-75.83527777777778,1,10130,20293,141,160
SCV,Suceava,,RO,47.6875,26.354166666666668,1,99494,112872,115,106
SCW,Syktyvkar,,RU,61.64694444444444,50.845,1,0,0,44,41
SCX,Salina Cruz,,MX,16.166666666666668,-95.2,0,0,0,0,0
SCY,San Cristobal Island,,EC,-0.910277777777778,-89.61749999999999,1,82265,55559,453,441
SCZ,Santa Cruz Island,,SB,-10.719722222222222,165.79638888888888,1,17,10,3,3
SDB,Saldanha Bay,,ZA,-32.973055555555554,18.16222222222222,0,0,0,0,0
SDC,Sand Creek,,GY,3.0,-59.516666666666666,0,0,0,0,0
SDD,Lubango,,AO,-14.924722222222222,13.575,1,2703,1111,9,8
SDE,Santiago del Estero,SE,AR,-27.765555555555554,-64.31,1,13582,15599,163,217
SDF,Louisville,KY,US,38.18333333333333,-85.73333333333333,1,640332,473352,9196,6494
