citycode,cityname,statecode,countrycode,latitude,longitude,active,searchorigin,searchdestination,wtforigin,wtfdestination
cit,cityName,st,co,(null),(null),(null),(null),(null),(null),(null)
AAA,Anaa,,PF,-17.352500000000003,-145.51,1,183,473,68,34
AAB,Arrabury,QL,AU,-26.691111111111113,141.04722222222222,0,0,0,0,0
AAC,El Arish,,EG,31.073333333333334,33.83583333333333,1,0,0,0,0
AAD,Adado,,SO,6.096111111111111,46.6375,1,0,0,1,1
AAE,Annaba,,DZ,36.82222222222222,7.809166666666666,1,35738,47805,83,96
AAF,Apalachicola,FL,US,29.733333333333334,-85.03333333333333,0,0,0,0,0
AAG,Arapoti,PR,BR,-24.103611111111114,-49.79,0,0,0,0,0
AAH,Aachen,,DE,50.823055555555555,6.186388888888889,0,287,522,0,0
AAI,Arraias,TO,BR,-12.916666666666666,-46.93333333333333,0,0,0,0,0
AAJ,Awaradam,,SR,3.9,-55.36666666666667,0,0,0,0,0
AAK,Aranuka,,KI,0.18527777777777776,173.63694444444442,1,0,0,2,2
AAL,Aalborg,,DK,57.1,9.85,1,288090,299136,2050,2002
AAM,Mala Mala,,ZA,-24.818055555555556,31.544722222222223,0,0,0,0,0
AAN,Al Ain,,AE,24.261666666666667,55.60916666666667,1,644259,665390,18,17
AAO,Anaco,,VE,9.416666666666666,-64.46666666666667,0,0,0,0,0
AAP,Samarinda,,ID,-0.37305555555555553,117.25083333333333,1,4010,3391,30,32
AAQ,Anapa,,RU,45.00222222222222,37.34722222222222,0,0,0,0,0
AAR,Aarhus,,DK,56.15,10.216666666666667,1,185045,180155,794,822
AAS,Apalapsili,,ID,-3.9166666666666665,139.25,0,0,0,0,0
AAT,Altay,,CN,47.75055555555556,88.08583333333333,1,1028,5669,111,109
AAU,Asau,,WS,-13.458333333333332,-172.6,0,0,0,0,0
AAV,Surallah,,PH,6.333333333333333,124.76666666666667,0,0,0,0,0
AAX,Araxa,MG,BR,-19.563333333333333,-46.96027777777778,1,517,533,22,14
AAY,Al Ghaydah,,YE,16.19361111111111,52.17305555555555,1,0,0,59,59
AAZ,Quetzaltenango,,GT,14.863888888888889,-91.52027777777778,1,1042,1643,12,16
ABA,Abakan,,RU,53.74,91.385,1,9917,5368,66,62
ABB,Asaba,,NG,6.203055555555555,6.6672222222222235,1,1188,1688,45,42
ABC,Albacete,,ES,38.994166666666665,-1.8583333333333334,1,12,33,0,0
ABD,Abadan,,IR,30.371111111111112,48.22833333333333,1,0,0,52,55
ABE,Allentown/Bethlehem/Easton,PA,US,40.65222222222222,-75.44083333333333,1,152908,110015,743,646
ABF,Abaiang,,KI,1.3816666666666666,173.14749999999998,1,0,0,2,2
ABG,Abingdon Downs,QL,AU,-17.666666666666668,143.2,0,0,0,0,0
ABH,Alpha,QL,AU,-23.7,146.58333333333334,0,0,0,0,0
ABI,Abilene,TX,US,32.416666666666664,-99.68333333333334,1,30198,26479,191,220
ABJ,Abidjan,,CI,5.261388888888889,-3.926388888888889,1,585428,815746,1154,1133
ABK,Kebri Dehar,,ET,6.733888888888889,44.25527777777778,0,9,8,0,0
ABL,Ambler,AK,US,67.10722222222222,-157.85333333333332,1,6,9,3,3
ABM,Bamaga,QL,AU,-10.950833333333332,142.45944444444444,1,342,438,66,78
ABN,Albina,,SR,5.5166666666666675,-54.05,0,0,0,0,0
ABO,Aboisso,,CI,5.466666666666667,-3.2,0,0,0,0,0
ABP,Atkamba,,PG,-6.066666666666666,141.1,0,0,0,0,0
ABQ,Albuquerque,NM,US,35.04055555555556,-106.60944444444443,1,584953,565879,5341,5272
ABR,Aberdeen,SD,US,45.453611111111115,-98.42555555555556,1,12509,14209,28,28
ABS,Abu Simbel,,EG,22.375833333333333,31.611666666666668,1,10089,15944,55,73
ABT,Al Baha,,SA,20.296111111111113,41.634166666666665,1,23549,18118,119,121
ABU,Atambua,,ID,-9.075,124.9038888888889,1,0,0,3,3
ABV,Abuja,,NG,9.006666666666666,7.263055555555556,1,639394,644275,463,464
ABW,Abau,,PG,-10.166666666666666,148.7,0,0,0,0,0
ABX,Albury,NS,AU,-36.06777777777778,146.95805555555555,1,80654,30433,184,179
ABY,Albany,GA,US,31.535555555555558,-84.19444444444444,1,19011,17548,164,167
ABZ,Aberdeen,,GB,57.20416666666667,-2.200277777777778,1,495786,361053,8052,9129
ACA,Acapulco,,MX,16.756944444444443,-99.7538888888889,1,201443,304283,403,368
ACB,Bellaire,MI,US,44.983333333333334,-85.20277777777778,0,0,0,0,0
ACC,Accra,,GH,5.605277777777777,-0.16666666666666666,1,1685491,1898125,924,982
ACD,Acandi,,CO,8.516666666666667,-77.3,0,0,0,0,0
ACE,Lanzarote,,ES,28.945555555555554,-13.605277777777777,1,665104,1239406,6283,6239
ACF,Alaer,,CN,40.44944444444444,81.2675,1,0,9,46,42
ACH,Altenrhein,,CH,47.485,9.560833333333335,1,2910,3397,32,32
ACI,Alderney,,GB,49.706944444444446,-2.215555555555556,1,407,1392,6,6
ACJ,Anuradhapura,,LK,8.3,80.42666666666668,0,0,0,0,0
ACK,Nantucket,MA,US,41.253055555555555,-70.06027777777777,1,18610,21121,1177,1237
ACL,Aguaclara,,CO,4.75,-73.0,0,0,0,0,0
ACM,Arica,,CO,-2.1333333333333333,-71.78333333333333,0,0,0,0,0
ACN,Ciudad Acuna,,MX,29.333055555555557,-101.09916666666666,0,0,0,0,0
ACO,Cobano,,CR,9.691944444444445,-85.09666666666666,0,0,0,0,0
ACP,Maragheh,,IR,37.34805555555556,46.13305555555556,1,0,0,2,2
ACR,Araracuara,,CO,-0.6008333333333333,-72.3963888888889,0,0,0,0,0
ACS,Achinsk,,RU,56.26972222222222,90.57194444444444,0,0,0,0,0
ACT,Waco,TX,US,31.616666666666667,-97.23333333333333,1,21409,17663,321,295
ACU,Achutupo,,PA,8.433333333333334,-77.96666666666667,0,0,0,0,0
ACV,Arcata/Eureka,CA,US,40.97805555555556,-124.1086111111111,1,35448,32198,145,132
ACX,Xingyi,,CN,25.085555555555555,104.95944444444444,1,1968,2652,117,120
ACY,Atlantic City,NJ,US,39.36277777777778,-74.4263888888889,1,56237,46279,199,206
ACZ,Zabol,,IR,31.098333333333333,61.54388888888889,1,0,0,3,3
ADA,Adana,,TR,36.98222222222223,35.280277777777776,1,566922,560945,3157,3156
ADC,Andakombe,,PG,-7.15,145.75,0,0,0,0,0
ADD,Addis Ababa,,ET,8.977777777777778,38.79944444444444,1,2596564,1932728,6289,6324
ADE,Aden,,YE,12.829444444444444,45.028888888888886,1,5,6,366,188
ADF,Adiyaman,,TR,37.731388888888894,38.46888888888889,1,13667,15118,76,77
ADG,Adrian,MI,US,41.9,-84.03333333333333,0,0,0,0,0
ADH,Aldan,,RU,58.60277777777778,125.40666666666667,0,0,0,0,0
ADI,Arandis,,NA,-22.4,15.0,0,0,0,0,0
ADK,Adak Island,AK,US,51.88111111111111,-176.6483333333333,1,118,270,31,15
ADL,Adelaide,SA,AU,-34.93333333333333,138.6,1,3370834,2758387,5888,5980
ADM,Ardmore,OK,US,34.3,-97.01666666666667,1,0,0,0,0
ADN,Andes,,CO,5.666666666666667,-75.88333333333334,0,0,0,0,0
ADO,Andamooka,SA,AU,-30.433888888888887,137.13722222222222,0,0,0,0,0
ADP,Ampara,,LK,7.3374999999999995,81.62583333333333,0,0,0,0,0
ADQ,Kodiak,AK,US,57.75,-152.48333333333332,1,6661,7323,137,100
ADR,Andrews,SC,US,33.45,-79.56666666666666,0,0,0,0,0
ADT,Ada,OK,US,34.8,-96.66666666666667,0,0,0,0,0
ADU,Ardabil,,IR,38.32555555555556,48.424166666666665,1,0,0,23,23
ADV,Addeain,,SD,11.402222222222223,26.11861111111111,0,0,0,0,0
ADW,Camp Springs,MD,US,38.80888888888889,-76.87083333333332,0,0,0,0,0
ADX,St Andrews,,GB,56.36666666666667,-2.8666666666666667,0,0,0,0,0
ADY,Alldays,,ZA,-22.666666666666668,29.1,0,0,0,0,0
ADZ,San Andres Island,,CO,12.58361111111111,-81.71111111111111,1,267304,510470,3117,3151
AEA,Abemama,,KI,0.4905555555555556,173.82999999999998,1,0,0,3,3
AEB,Baise,,CN,23.72,106.96027777777778,1,436,503,25,24
AEE,Adareil,,SS,10.061111111111112,32.96194444444445,0,0,0,0,0
AEG,Aek Godang,,ID,1.4,99.43,1,0,0,0,0
AEH,Abeche,,TD,13.8475,20.844444444444445,0,0,0,0,0
AEK,Aseki,,PG,-7.366666666666666,146.28333333333333,0,0,0,0,0
AEL,Albert Lea,MN,US,43.68333333333333,-93.36666666666666,0,0,0,0,0
AEM,Amgu,,RU,45.8425,137.67777777777778,1,0,0,1,1
AEO,Aioun el Atrouss,,MR,16.7,-9.65,0,0,0,0,0
AEQ,Chifeng,,CN,43.90833333333333,120.15027777777779,0,0,0,0,0
AER,Sochi,,RU,43.45,39.95666666666667,1,1081255,624504,1179,1175
AES,Alesund,,NO,62.56027777777778,6.110277777777777,1,258477,154359,1701,1773
AET,Allakaket,AK,US,66.55055555555555,-152.63194444444446,1,0,0,4,6
AEU,Abu Musa Island,,IR,25.875555555555557,55.0325,1,0,0,1,1
AEX,Alexandria,LA,US,31.316666666666666,-92.51666666666667,1,43003,40520,420,422
AEY,Akureyri,,IS,65.65861111111111,-18.072222222222223,1,17008,26809,145,145
AFA,San Rafael,MD,AR,-34.58861111111111,-68.40277777777779,1,5803,10390,37,38
AFD,Port Alfred,,ZA,-33.583333333333336,26.883333333333333,0,0,0,0,0
AFI,Amalfi,,CO,6.916666666666667,-75.06666666666666,0,0,0,0,0
AFK,Ampara,,LK,7.291944444444444,81.63527777777779,0,0,1,0,0
AFL,Alta Floresta,MT,BR,-9.866111111111111,-56.10611111111111,1,1192,1697,10,9
AFN,Jaffrey,NJ,US,42.80555555555555,-72.00333333333333,0,0,0,0,0
AFO,Afton,WY,US,42.71666666666667,-110.93333333333334,0,0,0,0,0
AFR,Afore,,PG,-9.133333333333333,148.38333333333333,0,0,0,0,0
AFS,Zarafshan,,UZ,41.615833333333335,64.23305555555555,0,0,0,0,0
AFT,Afutara,,SB,-9.19111111111111,160.94916666666668,0,0,0,0,0
AFY,Afyon,,TR,38.733333333333334,30.6,0,0,0,0,0
AFZ,Sabzevar,,IR,36.16861111111111,57.59638888888889,0,0,0,0,0
AGA,Agadir,,MA,30.325,-9.413055555555555,1,443931,729300,2804,2629
AGD,Anggi,,ID,-1.3833333333333333,133.86666666666667,0,0,0,0,0
AGE,Wangerooge,,DE,53.78722222222222,7.9158333333333335,0,0,0,0,0
AGF,Agen,,FR,44.17472222222222,0.5905555555555556,0,0,0,0,0
AGG,Angoram,,PG,-4.066666666666666,144.1,0,0,0,0,0
AGH,Angelholm/Helsingborg,,SE,56.29611111111111,12.847222222222223,1,24521,18794,284,276
AGI,Wageningen,,SR,5.7666666666666675,-56.68333333333333,0,0,0,0,0
AGJ,Aguni,,JP,26.583333333333332,127.25,0,0,0,0,0
AGK,Kagua,,PG,-6.333333333333333,143.83333333333334,0,0,0,0,0
AGL,Wanigela,,PG,-9.333333333333334,149.15,0,0,0,0,0
AGM,Tasiilaq,,GL,65.6125,-37.618611111111115,1,0,0,0,0
AGN,Angoon,AK,US,57.495,-134.56722222222223,1,25,36,77,78
AGO,Magnolia,AR,US,33.233333333333334,-93.21666666666667,0,0,0,0,0
AGP,Malaga,,ES,36.72138888888889,-4.421388888888889,1,4974701,4894702,19135,19317
AGQ,Agrinion,,GR,38.60194444444445,21.351111111111113,0,0,0,0,0
AGR,Agra,UP,IN,27.15583333333333,77.96083333333334,1,0,0,15,17
AGS,Augusta,GA,US,33.36666666666667,-81.96666666666667,1,105499,81125,1478,1448
AGT,Ciudad del Este,,PY,-25.455555555555556,-54.843611111111116,1,6584,8919,25,24
AGU,Aguascalientes,,MX,21.705555555555556,-102.31777777777778,1,208379,200193,864,903
AGV,Acarigua,,VE,9.55,-69.23333333333333,1,0,0,4,4
AGW,Agnew,QL,AU,-12.15,142.15,0,0,0,0,0
AGX,Agatti Island,LD,IN,10.823611111111111,72.17611111111111,1,0,0,2,2
AGZ,Aggeneys,,ZA,-29.283333333333335,18.816666666666666,0,0,0,0,0
AHB,Abha,,SA,18.240277777777777,42.656666666666666,1,264475,221083,589,446
AHC,Herlong,CA,US,40.15,-120.13333333333334,0,0,0,0,0
AHE,Ahe,,PF,-14.428055555555554,-146.25694444444446,1,72,141,68,46
AHF,Arapahoe,NE,US,40.333333333333336,-99.9,0,0,0,0,0
AHH,Amery,WI,US,45.28333333333333,-92.36666666666666,0,0,0,0,0
AHI,Amahai,,ID,-3.3333333333333335,128.91666666666666,0,0,0,0,0
AHJ,Aba Hongyuan,,CN,32.53138888888889,102.35194444444444,1,21,87,20,20
AHL,Aishalton,,GY,2.4833333333333334,-59.31666666666667,0,0,0,0,0
AHM,Ashland,OR,US,42.19027777777777,-122.66055555555556,0,0,0,0,0
AHN,Athens,GA,US,33.94944444444444,-83.32194444444444,0,12,3,0,0
AHO,Alghero,,IT,40.63027777777778,8.289722222222222,1,112563,104962,210,206
AHS,Ahuas,,HN,15.441666666666666,-84.42500000000001,0,0,0,0,0
AHU,Al Hoceima,,MA,35.17722222222222,-3.8394444444444447,1,6446,10342,128,123
AHW,Saih Rawl,,OM,21.342777777777776,56.76555555555556,0,0,0,0,0
AHY,Ambatolahy,,MG,-20.016666666666666,45.53333333333333,0,0,0,0,0
AHZ,L'Alpe-d'Huez,,FR,45.08833333333334,6.084722222222222,0,0,0,0,0
AIA,Alliance,NE,US,42.051944444444445,-102.80777777777777,1,5575,12080,8,8
AIC,Airok,,MH,7.279444444444445,168.82583333333332,1,0,0,2,2
AID,Anderson,IN,US,40.1,-85.66666666666667,0,0,0,0,0
AIE,Aiome,,PG,-5.133333333333334,144.73333333333332,0,0,0,0,0
AIF,Assis,SP,BR,-22.666666666666668,-50.416666666666664,0,0,0,0,0
AIG,Yalinga,,CF,6.5166666666666675,23.25,0,0,0,0,0
AIH,Aiambak,,PG,-7.3486111111111105,141.26666666666668,0,0,0,0,0
AII,Ali Sabieh,,DJ,11.15,42.71666666666667,0,0,0,0,0
AIK,Aiken,SC,US,33.64944444444444,-81.68916666666667,0,0,0,0,0
AIL,Ailigandi,,PA,9.233333333333333,-78.01666666666667,0,0,0,0,0
AIM,Ailuk Island,,MH,10.216944444444444,169.9836111111111,1,0,0,1,1
AIN,Wainwright,AK,US,70.61361111111111,-159.86694444444444,1,0,0,2,3
AIO,Atlantic,IA,US,41.4,-95.01666666666667,0,0,0,0,0
AIP,Adampur,PB,IN,31.43277777777778,75.75888888888889,0,0,0,0,0
AIR,Aripuana,MT,BR,-10.19111111111111,-59.456944444444446,1,10,26,10,5
AIS,Arorae,,KI,-2.616388888888889,176.8025,1,0,0,4,4
AIT,Aitutaki Island,,CK,-18.83111111111111,-159.76472222222222,1,960,2589,129,128
AIU,Atiu Island,,CK,-19.966666666666665,-158.125,1,0,0,0,0
AIV,Aliceville,AL,US,33.1,-88.2,0,0,0,0,0
AIW,Ai-Ais,,NA,-27.983333333333334,17.583333333333332,0,0,0,0,0
AIZ,Kaiser/Lake of the Ozarks,MO,US,38.1,-92.55,0,0,0,0,0
AJA,Ajaccio,,FR,41.92388888888889,8.8025,1,79724,117372,1504,1479
AJF,Jouf,,SA,29.785,40.1,1,50455,40383,193,139
AJI,Agri,,TR,39.653888888888886,43.02638888888889,1,5520,7990,43,43
AJJ,Akjoujt,,MR,19.733333333333334,-14.383333333333333,0,0,0,0,0
AJK,Araak,,IR,34.13805555555555,49.846944444444446,0,0,0,0,0
AJL,Aizawl,MZ,IN,23.83888888888889,92.62027777777777,1,0,1,23,23
AJN,Anjouan,,KM,-12.131111111111112,44.42972222222222,1,80,118,12,12
AJR,Arvidsjaur,,SE,65.59027777777777,19.281944444444445,1,1379,1631,167,160
AJS,Punta Abreojos,,MX,26.733333333333334,-113.58333333333333,0,0,0,0,0
AJU,Aracaju,SE,BR,-10.983888888888888,-37.07027777777778,1,307403,322348,854,1136
AJY,Agadez,,NE,16.9625,7.990277777777778,0,0,0,0,0
AKA,Ankang,,CN,32.70777777777778,108.93222222222222,1,525,1652,123,93
AKB,Atka,AK,US,52.218333333333334,-174.20638888888888,1,0,0,0,0
AKD,Akola,MH,IN,20.666666666666668,77.08333333333333,0,0,0,0,0
AKE,Akieni,,GA,-1.1722222222222223,13.916666666666666,0,0,0,0,0
AKF,Kufra,,LY,24.178611111111113,23.31388888888889,0,0,0,0,0
AKG,Anguganak,,PG,-3.5833333333333335,142.25,0,0,0,0,0
AKH,Al Kharj,,SA,24.063333333333333,47.580555555555556,1,0,0,0,0
AKI,Akiak,AK,US,60.901666666666664,-161.23222222222222,1,2,0,2,2
AKJ,Asahikawa,,JP,43.670833333333334,142.4475,1,71669,86861,236,244
AKK,Akhiok,AK,US,56.93861111111111,-154.1838888888889,1,0,0,1,1
AKL,Auckland,,NZ,-36.86666666666667,174.76666666666668,1,5966475,7345288,18653,18634
AKM,Zakouma,,TD,10.883333333333333,19.816666666666666,0,0,0,0,0
AKN,King Salmon,AK,US,58.67666666666666,-156.64916666666667,1,1246,1809,47,28
AKO,Akron,CO,US,40.166666666666664,-103.21666666666667,0,0,0,0,0
AKP,Anaktuvuk Pass,AK,US,68.13361111111112,-151.7433333333333,1,0,0,3,3
AKQ,Menggala,,ID,-4.616666666666667,105.23333333333333,0,0,0,0,0
AKR,Akure,,NG,7.248611111111111,5.301944444444445,1,351,626,6,6
AKS,Auki,,SB,-8.702499999999999,160.68194444444444,1,17,16,3,4
AKT,Akrotiri,,CY,34.59055555555556,32.98777777777778,0,0,0,0,0
AKU,Aksu,,CN,41.26277777777778,80.29194444444444,1,2425,4758,383,412
AKV,Akulivik,QC,CA,60.81861111111112,-78.14861111111112,1,25,130,16,16
AKW,Aghajari,,IR,30.75,49.68333333333333,0,0,0,0,0
AKX,Aktobe,,KZ,50.24583333333334,57.20666666666667,1,170906,157862,199,194
AKY,Sittwe,,MM,20.13277777777778,92.87249999999999,1,844,2520,79,74
ALA,Almaty,,KZ,43.35333333333333,77.04222222222222,1,3541219,2938886,2537,2527
ALB,Albany,NY,US,42.733333333333334,-73.8,1,400850,307899,2347,2138
ALC,Alicante,,ES,38.34583333333334,-0.4905555555555556,1,3192011,3099338,12320,12342
ALD,Alerta,,PE,-11.7,-69.35,0,0,0,0,0
ALE,Alpine,TX,US,30.38611111111111,-103.68333333333334,0,0,0,0,0
ALF,Alta,,NO,69.97611111111111,23.371666666666666,1,68507,98541,564,539
ALG,Algiers,,DZ,36.69416666666666,3.2147222222222225,1,1025917,1470872,3022,3019
ALH,Albany,WA,AU,-34.94333333333333,117.80888888888889,1,2385,3339,6,5
ALI,Alice,TX,US,27.739166666666666,-98.02694444444444,1,0,0,1,1
ALJ,Alexander Bay,,ZA,-28.566666666666666,16.533333333333335,0,0,0,0,0
ALK,Asela,,ET,7.966666666666667,39.11666666666667,0,0,0,0,0
ALL,Albenga,,IT,44.045833333333334,8.125555555555556,0,0,0,0,0
ALM,Alamogordo,NM,US,32.833333333333336,-106.0,1,3,7,0,0
ALN,Alton,IL,US,38.891666666666666,-90.17222222222223,0,0,0,0,0
ALO,Waterloo,IA,US,42.55694444444444,-92.40027777777779,1,14199,12310,79,65
ALP,Aleppo,,SY,36.18055555555555,37.224444444444444,1,0,1,4,3
ALQ,Alegrete,RS,BR,-29.8,-55.733333333333334,1,50,66,4,4
ALR,Alexandra,,NZ,-45.21666666666667,169.36666666666667,0,0,0,0,0
ALS,Alamosa,CO,US,37.4375,-105.86638888888888,1,3878,4485,11,10
ALT,Alenquer,PA,BR,-1.9388888888888887,-54.74722222222222,0,0,0,0,0
ALU,Alula,,SO,11.966666666666667,50.75,0,0,0,0,0
ALW,Walla Walla,WA,US,46.095,-118.28777777777778,1,18093,13415,158,161
ALX,Alexander City,AL,US,32.93333333333333,-85.95,0,0,0,0,0
ALY,Alexandria,,EG,31.216666666666665,29.916666666666668,1,410201,428479,1056,978
ALZ,Alitak,AK,US,56.89888888888889,-154.2497222222222,1,0,0,1,1
AMA,Amarillo,TX,US,35.233333333333334,-101.7,1,70353,58473,1090,1041
AMB,Ambilobe,,MG,-13.183333333333334,48.983333333333334,0,0,0,0,0
AMC,Am Timan,,TD,11.033333333333333,20.283333333333335,0,0,0,0,0
AMD,Ahmedabad,GJ,IN,23.077222222222222,72.63472222222222,1,4602374,4840163,1617,1408
AME,Alto Molocue,,MZ,-15.65,37.68333333333333,0,0,0,0,0
AMF,Ama,,PG,-4.166666666666667,141.66666666666666,0,0,0,0,0
AMG,Amboin,,PG,-4.6,143.5,0,0,0,0,0
AMH,Arba Minch,,ET,6.039444444444444,37.59055555555556,1,9626,11083,3,2
AMI,Mataram,,ID,-8.560833333333335,116.09472222222222,0,1,11,0,0
AMJ,Almenara,MG,BR,-16.183333333333334,-40.68333333333333,0,0,0,0,0
AML,Puerto Armuelles,,PA,8.3,-82.86666666666666,0,0,0,0,0
AMM,Amman,,JO,31.966666666666665,35.983333333333334,1,2682893,3041561,19222,19620
AMN,Alma,MI,US,43.38333333333333,-84.65,0,0,0,0,0
AMO,Mao,,TD,14.116666666666667,15.316666666666666,0,0,0,0,0
AMP,Ampanihy,,MG,-24.7,44.733333333333334,0,0,0,0,0
AMQ,Ambon,,ID,-3.710277777777778,128.08916666666667,1,100774,139890,156,171
AMS,Amsterdam,,NL,52.308055555555555,4.764166666666667,1,17262343,16402462,68056,72756
AMT,Amata,SA,AU,-26.2,131.11666666666667,0,0,0,0,0
AMU,Amanab,,PG,-3.5833333333333335,141.21666666666667,0,0,0,0,0
AMV,Amderma,,RU,69.76083333333334,61.57361111111111,0,0,0,0,0
AMW,Ames,IA,US,42.0,-93.61666666666666,0,0,0,0,0
AMX,Ammaroo,NT,AU,-21.740000000000002,135.23999999999998,0,0,0,0,0
AMY,Ambatomainty,,MG,-17.683333333333334,45.666666666666664,0,0,0,0,0
AMZ,Ardmore,,NZ,-37.03333333333333,174.96944444444443,1,0,0,0,0
ANA,Maasai Mara,,KE,-1.2716666666666665,34.95527777777778,1,3,2,13,40
ANB,Anniston,AL,US,33.58833333333334,-85.85833333333333,0,0,0,0,0
ANC,Anchorage,AK,US,61.166666666666664,-149.98333333333332,1,520358,599746,6542,7433
AND,Anderson,SC,US,34.5,-82.71666666666667,0,0,0,0,0
ANE,Angers,,FR,47.483333333333334,-0.5333333333333333,1,349,428,0,0
ANF,Antofagasta,,CL,-23.444444444444446,-70.44500000000001,1,154476,131477,4849,4419
ANG,Angouleme,,FR,45.72944444444445,0.21916666666666668,0,0,0,0,0
ANI,Aniak,AK,US,61.58222222222223,-159.54416666666665,1,43,54,15,9
ANJ,Zanaga,,CG,-2.85,13.833333333333334,0,0,0,0,0
ANK,Ankara,,TR,39.93333333333333,32.86666666666667,1,2206217,2458292,5285,5396
ANL,Andulo,,AO,-11.5,16.75,0,0,0,0,0
ANM,Antalaha,,MG,-14.999444444444444,50.32027777777778,0,0,0,0,0
ANN,Annette Island,AK,US,55.03333333333333,-131.56666666666666,0,0,0,0,0
ANO,Angoche,,MZ,-16.166666666666668,39.93333333333333,0,0,0,0,0
ANP,Annapolis,MD,US,38.983333333333334,-76.5,0,0,0,0,0
ANQ,Angola,IN,US,41.63333333333333,-85.0,0,0,0,0,0
ANR,Antwerp,,BE,51.18944444444444,4.460277777777778,1,77513,89488,972,971
ANS,Andahuaylas,,PE,-13.706388888888888,-73.35027777777778,0,0,0,0,0
ANT,St Anton,,AT,47.12083333333334,10.241666666666665,0,0,0,0,0
ANU,Antigua,,AG,17.136666666666667,-61.79277777777778,1,165571,235629,544,534
ANV,Anvik,AK,US,62.649166666666666,-160.18972222222223,1,0,0,2,2
ANW,Ainsworth,NE,US,42.583333333333336,-99.98333333333333,0,0,0,0,0
ANX,Andenes,,NO,69.2925,16.144166666666667,1,3853,4494,148,136
ANY,Anthony,KS,US,37.15,-98.03333333333333,0,0,0,0,0
ANZ,Angus Downs Station,NT,AU,-25.083333333333332,132.16666666666666,0,0,0,0,0
AOA,Aroa,,PG,-9.033333333333333,146.75,0,0,0,0,0
AOB,Annanberg,,PG,-4.916666666666667,144.66666666666666,0,0,0,0,0
AOC,Altenburg,,DE,50.981944444444444,12.506388888888889,0,0,0,0,0
AOD,Abou Deia,,TD,11.466666666666667,19.283333333333335,0,0,0,0,0
AOE,Eskisehir,,TR,39.809999999999995,30.516944444444444,1,3695,2282,95,95
AOG,Anshan,,CN,41.105555555555554,122.8561111111111,1,0,0,30,31
AOH,Lima,OH,US,40.71666666666667,-84.03333333333333,0,0,0,0,0
AOI,Ancona,,IT,43.61666666666667,13.360277777777778,1,144835,112862,191,189
AOJ,Aomori,,JP,40.734722222222224,140.69083333333333,1,78722,112659,312,319
AOK,Karpathos,,GR,35.421388888888885,27.14611111111111,1,13221,18513,244,234
AOL,Paso de los Libres,CR,AR,-29.683333333333334,-57.15,0,0,0,0,0
AOM,Adam,,OM,22.497222222222224,57.38333333333333,0,0,0,0,0
AON,Arona,,PG,-6.25,145.96666666666667,0,0,0,0,0
AOO,Altoona,PA,US,40.296388888888885,-78.32,1,4943,4028,6,8
AOP,Andoas,,PE,-2.7913888888888887,-76.47472222222223,0,0,0,0,0
AOQ,Aappilattoq,,GL,72.88694444444445,-55.596111111111114,1,0,0,0,0
AOR,Alor Setar,,MY,6.194444444444445,100.40083333333334,1,418256,405207,186,208
AOS,Amook Bay,AK,US,57.471111111111114,-153.81555555555556,1,0,0,2,2
AOT,Aosta,,IT,45.73861111111111,7.368055555555555,0,0,0,0,0
AOU,Attapeu,,LA,14.82,106.82055555555556,0,0,0,0,0
APB,Apolo,,BO,-14.716666666666667,-68.5,0,0,0,0,0
APC,Napa,CA,US,38.21333333333334,-122.28,0,0,0,0,0
APF,Naples,FL,US,26.153333333333332,-81.77527777777777,1,336,326,0,0
APG,Aberdeen,MD,US,39.516666666666666,-76.16666666666667,0,0,0,0,0
APH,Bowling Green,VA,US,38.05,-77.35,0,0,0,0,0
API,Apiay,,CO,4.076111111111111,-73.56277777777777,0,0,0,0,0
APJ,Pulan,,CN,30.398611111111112,81.1325,1,0,0,0,0
APK,Apataki,,PF,-15.573611111111111,-146.4152777777778,1,0,7,16,16
APL,Nampula,,MZ,-15.105555555555556,39.281666666666666,1,10812,12141,53,62
APN,Alpena,MI,US,45.07805555555556,-83.56027777777777,1,3907,3922,44,44
APO,Apartado,,CO,7.8125,-76.71666666666667,1,0,0,29,29
APP,Asapa,,PG,-8.983333333333333,148.13333333333333,0,0,0,0,0
APQ,Arapiraca,AL,BR,-9.75,-36.65,0,0,0,0,0
APR,April River,,PG,-4.676944444444445,142.53972222222222,0,0,0,0,0
APS,Anapolis,GO,BR,-16.36277777777778,-48.927499999999995,0,0,0,0,0
APT,Jasper,TN,US,35.06666666666667,-85.63333333333334,0,0,0,0,0
APU,Apucarana,PR,BR,-23.55,-51.483333333333334,0,0,0,0,0
APV,Apple Valley,CA,US,34.57833333333333,-117.18666666666667,0,0,0,0,0
APW,Apia,,WS,-13.833333333333334,-172.0,1,105875,223168,365,380
APX,Arapongas,PR,BR,-23.383333333333333,-51.95,0,0,0,0,0
APY,Alto Parnaiba,MA,BR,-9.1,-45.96666666666667,0,0,0,0,0
APZ,Zapala,NE,AR,-38.916666666666664,-70.08333333333333,0,0,0,0,0
AQA,Araraquara,SP,BR,-21.811944444444446,-48.13305555555556,0,0,0,0,0
AQB,Quiche,,GT,15.01,-91.15,0,0,0,0,0
AQG,Anqing,,CN,30.5825,117.05027777777778,1,5208,7284,102,93
AQI,Qaisumah,,SA,28.335277777777776,46.125,1,28406,22103,110,110
AQJ,Aqaba,,JO,29.611666666666668,35.018055555555556,1,123800,175404,1565,1824
